qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
0963c8b80bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3684,0.5,133.0,0.5,0.0
09beb233086d11ebbd61ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6013,1.0,153.0,1.0,1.0
963fffd60bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.4323,1.0,155.0,1.0,1.0
f0d6f50c08eb11ebbda7ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.3831,1.0,154.0,1.0,1.0
33d1a6d60bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6076,1.0,158.0,1.0,1.0
f31afa16094511ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,148.0,1.0,1.0
3654974a08df11ebbda0ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1776,0.25,152.0,0.75,0.0
2d2fdefe085311ebbd59ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3793,0.5,145.0,1.0,1.0
7a01a52a089c11ebbd78ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4062,0.5,160.0,0.5,0.0
d8a00ed40bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2152,0.5,158.0,0.5,0.0
c37f944e08e611ebbda5ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6382,1.0,152.0,1.0,1.0
b670607d08b611ebbd88ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.25,1.0,0.6599,0.5,147.0,0.75,0.0
62a0531e0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3077,0.5,156.0,0.5,0.0
03f2846e0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.5,0.0,0.6,1.0,150.0,1.0,1.0
98da1bb608d411ebbd96ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.723,0.75,148.0,0.75,0.0
bb792556091811ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.4575,1.0,153.0,1.0,1.0
46e99a3d094111ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2885,1.0,156.0,1.0,1.0
2f6aa3ba0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.1818,0.0,0.6369,1.0,157.0,1.0,1.0
41b295500bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,144.0,1.0,1.0
