qid,policy,representation,packer,em,f1,ans_in_context,ans_in_context_soft,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
2hop__849534_122868,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.2083,0.5,144.0,0.5,0.0
2hop__83460_456238,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.75,0.4392,0.5,148.0,1.0,1.0
2hop__89991_58067,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.4658,0.5,146.0,0.5,0.0
2hop__160223_58067,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0
2hop__158010_58067,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.0,0.0,137.0,0.0,0.0
2hop__439614_349102,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,1.0,0.7955,1.0,132.0,1.0,1.0
2hop__747758_58067,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.0,0.0,158.0,0.0,0.0
2hop__77775_162341,chunk_packed_160,chunk,packed,0.0,0.7692,0.0,0.7143,0.4516,0.5,155.0,0.5,0.0
2hop__55966_162341,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2857,0.0,0.0,155.0,0.0,0.0
2hop__43776_162341,chunk_packed_160,chunk,packed,0.0,0.1818,0.0,0.5714,0.0,0.0,156.0,0.0,0.0
2hop__703493_162341,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1429,0.0,0.0,137.0,0.5,0.0
2hop__153573_44085,chunk_packed_160,chunk,packed,0.0,0.8,1.0,1.0,0.0,0.0,159.0,0.5,0.0
2hop__153573_109006,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5,0.0,0.0,155.0,0.5,0.0
2hop__153573_45901,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.3421,0.5,152.0,0.5,0.0
2hop__551235_310309,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.48,0.5,125.0,0.5,0.0
2hop__7046_44085,chunk_packed_160,chunk,packed,1.0,1.0,1.0,1.0,0.0,0.0,137.0,0.5,0.0
2hop__488811_30078,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.5,0.0
2hop__150866_11402,chunk_packed_160,chunk,packed,0.0,0.0,1.0,1.0,0.7171,0.5,152.0,1.0,1.0
2hop__488811_30113,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3333,0.6752,1.0,157.0,1.0,1.0
2hop__488811_30110,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.25,0.1613,0.5,155.0,0.5,0.0
2hop__257831_123283,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.302,0.5,149.0,0.5,0.0
2hop__40270_11402,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6667,0.2288,0.5,153.0,0.5,0.0
