qid,policy,representation,packer,em,f1,ans_in_context,gold_token_density,gold_doc_reader_cov,context_tokens,base_recall@5,base_all_gold@5
eeafddd00bdd11eba7f7acde48001122,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3484,1.0,155.0,1.0,1.0
47219fad085111ebbd58ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2029,0.5,138.0,1.0,1.0
c370b4540bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1187,0.5,160.0,1.0,1.0
2ba9b53c0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1274,0.5,157.0,0.5,0.0
a6202170089911ebbd77ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5033,0.5,151.0,0.5,0.0
b7fa1522089911ebbd77ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3605,0.5,147.0,0.5,0.0
2210c90b08c811ebbd91ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.6815,0.5,157.0,0.5,0.0
6bbe4cf80bd911eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.3681,0.5,144.0,0.5,0.0
01c9f7960bdb11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0
8894ca2808e111ebbda2ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.5472,0.5,159.0,0.5,0.0
fd704fe00bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3396,0.5,159.0,1.0,1.0
375e7e4408c611ebbd90ac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.5245,0.5,143.0,0.5,0.0
b583abd20baf11ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2635,0.5,148.0,0.5,0.0
f7a3d98a08ab11ebbd82ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.1818,0.5,154.0,0.5,0.0
61644425091011ebbdadac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.225,0.5,160.0,1.0,1.0
32edaabe0bb011ebab90acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4362,0.5,149.0,0.5,0.0
002f12240bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.4904,1.0,157.0,1.0,1.0
50d225540bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.2803,0.5,157.0,0.5,0.0
17904a03087611ebbd67ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.5973,0.5,149.0,0.5,0.0
5a4826b00bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.5,1.0,0.3462,0.5,156.0,1.0,1.0
6dd9acf20bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0903,0.5,155.0,0.5,0.0
614eef2a0bde11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.1875,0.5,144.0,0.5,0.0
73695ca80bda11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.0784,0.5,153.0,0.5,0.0
150df73c086411ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.2418,0.5,153.0,0.5,0.0
ac3e7fc3093711ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,1.0,0.3904,0.5,146.0,1.0,1.0
5cad7ed608a111ebbd79ac1f6bf848b6,chunk_packed_160,chunk,packed,1.0,1.0,0.0,0.5,1.0,154.0,1.0,1.0
172fd661094811ebbdaeac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.3585,1.0,159.0,1.0,1.0
222bd7ec0bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.6667,1.0,0.4868,1.0,152.0,1.0,1.0
39c32aa2086411ebbd5eac1f6bf848b6,chunk_packed_160,chunk,packed,0.0,0.0,1.0,0.4444,1.0,144.0,1.0,1.0
7379ce100bdc11eba7f7acde48001122,chunk_packed_160,chunk,packed,0.0,0.0,0.0,0.2667,0.5,135.0,0.5,0.0
